title,release_year,genre,vote_average,popularity,vote_count,original_language,cluster
Smallfoot,2018,"Family, Animation, Adventure, Fantasy",6.8,44.654,1223,en,0
Barbie Mariposa,2008,"Animation, Fantasy, Family",6.7,44.621,395,en,0
The Last Warrior: A Messenger of Darkness,2021,"Fantasy, Adventure",7.3,44.609,23,ru,10
Transformers: Rise of the Beasts,2023,"Action, Science Fiction, Adventure",0.0,44.599,0,en,11
Top Gun: Maverick,2022,"Action, Drama",0.0,44.584,0,en,1
GoodFellas,1990,"Drama, Crime",8.5,44.572,9860,en,6
Monsters vs Aliens,2009,"Animation, Family, Adventure, Science Fiction",6.2,44.569,3754,en,0
6 Bullets,2012,"Thriller, Action, Crime",6.0,44.565,252,en,8
The Rebound,2009,"Romance, Comedy",6.5,44.548,724,en,9
Nausicaä of the Valley of the Wind,1984,"Adventure, Animation, Fantasy",7.9,44.53,2600,ja,10
Passengers,2016,"Drama, Romance, Science Fiction",6.9,44.528,11236,en,6
Blackhat,2015,"Crime, Thriller, Action",5.4,44.516,1656,en,8
A History of Violence,2005,"Drama, Thriller, Crime",7.2,44.516,2444,en,8
Chernobyl Diaries,2012,"Horror, Thriller",5.2,44.505,1294,en,7
A Clockwork Orange,1971,"Science Fiction, Drama",8.2,44.432,10473,en,6
Barbie and the Three Musketeers,2009,"Animation, Family",7.2,44.427,525,en,0
A Star Is Born,2018,"Drama, Romance, Music",7.5,44.42,10112,en,6
A Dog's Journey,2019,"Family, Adventure, Drama",8.1,44.405,1076,en,6
Tomb Raider,2018,"Action, Adventure, Fantasy",6.3,44.367,6585,en,10
Storks,2016,"Adventure, Animation, Comedy, Family",6.6,44.359,1931,en,0
Parasyte: Part 1,2014,"Science Fiction, Horror",7.1,44.344,176,ja,5
The House of Flowers: The Movie,2021,Drama,8.2,44.335,90,es,6
Puss in Boots,2011,"Animation, Adventure, Comedy, Family",6.4,44.318,2509,en,0
The Game Plan,2007,"Comedy, Family",6.4,44.306,1603,en,3
Cold Pursuit,2019,"Action, Crime, Thriller",5.7,44.261,1991,en,8
Dragon Ball Z: Gather Together! Goku's World,1992,"Action, Animation, Adventure",7.2,44.238,70,ja,10
The Lorax,2012,"Animation, Family",6.5,44.232,2745,en,0
Neon Genesis Evangelion: The End of Evangelion,1997,"Drama, Science Fiction, Animation, Action",8.4,44.216,1025,ja,2
Child's Play 2,1990,"Horror, Thriller",6.2,44.208,1317,en,7
Eternal Sunshine of the Spotless Mind,2004,"Science Fiction, Drama, Romance",8.1,44.194,12044,en,6
I Spit on Your Grave III: Vengeance is Mine,2015,"Horror, Thriller",5.7,44.162,736,en,7
My Son,2021,"Crime, Drama, Mystery",6.4,44.15,180,en,6
The Lego Movie,2014,"Adventure, Animation, Comedy, Family, Fantasy",7.4,44.143,6476,en,0
Ghosts of War,2020,"Horror, Thriller, War, Fantasy",6.1,44.139,279,en,7
Digimon Adventure: Last Evolution Kizuna,2020,"Animation, Action, Thriller, Adventure, Fantasy",7.8,44.091,100,ja,10
Born to Race: Fast Track,2014,Action,6.6,44.077,75,en,2
Quantum of Solace,2008,"Adventure, Action, Thriller, Crime",6.3,44.059,6441,en,8
The Lovely Bones,2009,"Fantasy, Drama",7.0,44.047,3724,en,6
No Escape,2015,Thriller,6.9,44.046,2082,en,4
The Curious Case of Benjamin Button,2008,"Drama, Fantasy, Romance",7.6,44.043,10520,en,6
12 Hour Shift,2020,"Thriller, Horror, Comedy, Crime",5.4,44.038,155,en,7
Toy Story That Time Forgot,2014,"Animation, Family, Adventure, Comedy",7.0,44.033,782,en,0
Justice League: Gods and Monsters,2015,"Action, Animation, Fantasy",7.2,44.02,444,en,10
All About Sex,2021,"Comedy, Drama, Romance",7.3,44.018,3,en,9
Rings,2017,Horror,5.0,44.014,2207,en,5
I Am Sam,2001,Drama,7.6,44.011,1818,en,6
Who Framed Roger Rabbit,1988,"Fantasy, Animation, Comedy, Crime, Family",7.5,44.01,4564,en,0
Don Jon,2013,"Romance, Comedy, Drama",6.0,44.004,3692,en,9
Mr. Peabody & Sherman,2014,"Animation, Adventure, Family",6.7,43.992,1972,en,0
Hulk,2003,"Action, Science Fiction",5.5,43.979,4698,en,2
Romance,1999,"Drama, Romance",5.3,43.883,165,fr,6
Rocky III,1982,Drama,6.8,43.847,3125,en,6
Psycho Goreman,2020,"Science Fiction, Comedy, Horror",6.1,43.791,208,en,5
Guardians,2017,"Action, Fantasy, Science Fiction",4.9,43.749,594,ru,2
Leprechaun,1993,"Comedy, Horror, Thriller",5.6,43.723,546,en,7
Goosebumps 2: Haunted Halloween,2018,"Adventure, Comedy, Fantasy, Family, Horror",6.1,43.717,1153,en,0
Taxi Driver,1976,"Crime, Drama",8.2,43.702,9124,en,6
Robin Hood,1973,"Animation, Family",7.3,43.687,3596,en,0
Meet Joe Black,1998,"Fantasy, Drama, Romance",7.2,43.676,3801,en,6
V for Vendetta,2006,"Action, Thriller, Fantasy",7.9,43.667,12002,en,8
Neighbors,2014,Comedy,6.2,43.665,6051,en,3
Sinbad: Legend of the Seven Seas,2003,"Family, Animation, Adventure, Comedy, Fantasy, Action",6.9,43.662,1610,en,0
Tangled Ever After,2012,"Animation, Comedy, Action, Family",7.1,43.633,870,en,0
2 Guns,2013,"Action, Comedy, Crime",6.5,43.617,3390,en,3
The Other Woman,2014,"Comedy, Romance",6.4,43.611,3070,en,9
Cast Away,2000,"Adventure, Drama",7.7,43.596,9245,en,6
Resident Evil: Damnation,2012,"Animation, Horror, Action",6.9,43.573,620,en,2
Operation Y and Other Shurik's Adventures,1965,Comedy,8.0,43.553,192,ru,3
Sherlock Holmes,2009,"Action, Adventure, Crime, Mystery",7.2,43.526,12026,en,10
Percy Jackson: Sea of Monsters,2013,"Adventure, Family, Fantasy",6.0,43.522,4391,en,10
Hunter x Hunter: The Last Mission,2013,"Adventure, Animation, Action, Fantasy",7.2,43.493,122,ja,10
Saw V,2008,"Horror, Thriller, Crime",6.2,43.488,2666,en,7
The Pianist,2002,"Drama, War",8.4,43.484,7101,en,6
BIA: An Upside Down World,2021,"Comedy, Drama, Family",7.8,43.478,114,es,3
Sin Nombre,2009,"Drama, Action, Thriller, Crime",7.6,43.456,493,es,8
Intersect,2020,"Horror, Science Fiction, Thriller",5.8,43.45,43,en,7
Paranormal Activity 3,2011,"Horror, Mystery",5.9,43.439,1775,en,5
Kingsglaive: Final Fantasy XV,2016,"Animation, Science Fiction, Action",6.8,43.413,538,ja,2
Death Race: Beyond Anarchy,2018,"Action, Thriller, Science Fiction",6.4,43.361,226,en,2
Black Hawk Down,2001,"Action, History, War",7.4,43.358,4476,en,1
Saw VI,2009,"Horror, Mystery",6.3,43.349,2427,en,5
Silver Linings Playbook,2012,"Drama, Comedy, Romance",7.1,43.346,10365,en,9
It's a Wonderful Life,1946,"Drama, Family, Fantasy",8.3,43.311,3236,en,6
Robots,2005,"Animation, Comedy, Family, Science Fiction",6.4,43.309,3733,en,0
Kama Sutra: A Tale of Love,1996,"Drama, History, Romance",5.7,43.298,118,en,6
Zookeeper,2011,"Comedy, Romance, Family",5.4,43.29,1341,en,9
The Boy Who Harnessed the Wind,2019,"Drama, History, Family",7.9,43.275,1216,en,6
Modest Heroes,2018,"Animation, Fantasy, Adventure, Drama",6.6,43.269,117,ja,10
Wonder,2017,"Drama, Family",8.2,43.266,6728,en,6
Good Will Hunting,1997,Drama,8.1,43.247,9404,en,6
Bridge to Terabithia,2007,"Adventure, Drama, Family",7.3,43.208,3772,en,6
Dog Years,2021,"Romance, Comedy",6.2,43.188,87,it,9
Son of the Mask,2005,"Fantasy, Comedy, Family, Adventure",4.2,43.18,1428,en,0
Suicide Squad: Hell to Pay,2018,"Science Fiction, Action, Animation",7.2,43.13,445,en,2
Underdogs,2013,"Animation, Adventure, Romance",6.5,43.119,340,es,0
Overdrive,2017,"Thriller, Action, Mystery",6.1,43.088,776,en,8
Barbie and the Diamond Castle,2008,"Animation, Family",7.4,43.079,659,en,0
The Lego Movie 2: The Second Part,2019,"Action, Adventure, Animation, Comedy, Family",6.7,43.062,1636,en,0
Nothing to Lose,2018,"Drama, History",5.4,43.059,72,pt,6
A Tale of Two Sisters,2003,"Drama, Horror, Mystery",7.1,43.044,828,ko,5
Flavors of Youth,2018,"Animation, Romance, Drama",6.8,43.026,452,zh,6
Indiana Jones and the Last Crusade,1989,"Adventure, Action",7.8,42.988,7987,en,10
Cranston Academy: Monster Zone,2020,"Adventure, Science Fiction, Animation, Fantasy, Horror",6.5,42.982,77,en,11
Courageous,2011,Drama,7.5,42.952,262,en,6
The Host,2006,"Horror, Drama, Science Fiction",7.0,42.918,2068,ko,5
The Da Vinci Code,2006,"Thriller, Mystery",6.7,42.898,7717,en,4
The Garden of Words,2013,"Animation, Drama, Romance",7.6,42.878,1525,ja,6
Boss Level,2021,"Action, Science Fiction, Thriller",6.9,42.842,938,en,2
Ong Bak 2,2008,"Adventure, Action, Thriller",6.4,42.828,494,th,10
Leprechaun: Back 2 tha Hood,2003,"Horror, Comedy",5.2,42.811,120,en,5
The Grudge,2004,"Horror, Mystery, Thriller",5.9,42.801,2351,en,7
Aliens,1986,"Action, Thriller, Science Fiction",7.9,42.781,7527,en,2
The Boy Who Killed My Parents,2021,"Crime, Drama, Thriller",6.4,42.766,145,pt,8
Crawl,2019,"Thriller, Horror, Action",6.3,42.749,2460,en,7
Planet of the Apes,2001,"Thriller, Science Fiction, Action, Adventure",5.7,42.737,3218,en,11
Dark Shadows,2012,"Comedy, Fantasy",6.0,42.71,6107,en,3
Pleasure,2021,Drama,6.2,42.701,77,en,6
The Legend of Siren XXX,2010,Horror,4.2,42.685,10,ja,5
Self/less,2015,"Science Fiction, Mystery, Thriller",6.4,42.681,2572,en,4
The Transporter Refueled,2015,"Action, Thriller, Crime",5.5,42.664,1243,en,8
Red Sparrow,2018,"Mystery, Thriller",6.5,42.657,5087,en,4
Friday the 13th Part 2,1981,"Horror, Thriller",6.1,42.651,1199,en,7
The Dark Tower,2017,"Fantasy, Action, Science Fiction, Adventure",5.7,42.643,4237,en,11
Goodbye World,2013,"Drama, Comedy",5.3,42.608,114,en,3
Allegiant,2016,"Adventure, Science Fiction, Action, Mystery",6.1,42.602,5687,en,11
The Good Doctor,2011,"Drama, Thriller, Mystery",6.2,42.6,185,en,4
Turbo: A Power Rangers Movie,1997,"Action, Adventure, Family, Fantasy, Science Fiction, Thriller",5.7,42.6,210,en,11
The Son of Bigfoot,2017,"Family, Animation, Comedy",6.6,42.596,374,en,0
Never Back Down,2008,"Drama, Action",6.7,42.577,1890,en,1
Jigsaw,2017,"Horror, Crime, Mystery, Thriller",6.2,42.533,2918,en,7
50 Greatest Harry Potter Moments,2011,Documentary,8.0,42.532,49,en,3
Cashback,2004,"Drama, Comedy",6.9,42.512,88,en,3
The Intruder,2021,Thriller,5.3,42.508,13,es,4
"Yes, God, Yes",2020,"Comedy, Drama",6.4,42.47,353,en,3
If I Stay,2014,Drama,7.4,42.463,3783,en,6
War of the Arrows,2011,"Drama, Action, History, Thriller",7.2,42.461,189,ko,1
Garfield: A Tail of Two Kitties,2006,"Comedy, Family, Adventure, Animation",5.5,42.455,1717,en,0
Ghostbusters II,1989,"Comedy, Fantasy",6.5,42.394,3381,en,3
Chicken Little,2005,"Animation, Family, Comedy",5.9,42.37,3206,en,0
Die Hard 2,1990,"Action, Thriller",6.9,42.37,4560,en,8
Dunkirk,2017,"War, Action, Drama",7.5,42.357,13836,en,1
Raiders of the Lost Ark,1981,"Adventure, Action",7.9,42.353,9903,en,10
Deepwater Horizon,2016,"Drama, Action",6.8,42.344,3709,en,1
Steven Universe: The Movie,2019,"Animation, Family, Fantasy, Music, TV Movie, Science Fiction",8.4,42.313,643,en,0
The Blair Witch Project,1999,"Horror, Mystery",6.3,42.313,3647,en,5
Hostel,2006,Horror,5.9,42.275,2848,en,5
Where the Wild Things Are,2009,"Family, Fantasy, Science Fiction, Drama",6.5,42.267,1489,en,6
Inferno,2016,"Mystery, Thriller, Drama, Action",6.0,42.261,5420,en,1
Paranormal Activity: The Marked Ones,2014,"Horror, Thriller",5.4,42.238,1161,en,7
Dawn of the Dead,2004,"Action, Horror",7.0,42.226,3059,en,5
Promare,2019,"Animation, Action, Science Fiction",7.1,42.222,172,ja,2
Naruto: The Lost Story - Mission: Protect the Waterfall Village!,2003,"Animation, Action, Adventure",6.8,42.167,57,ja,10
The Boss Baby,2017,"Animation, Comedy, Family",6.5,42.14,6128,en,0
Dolittle,2020,"Family, Fantasy, Adventure",6.7,42.11,2896,en,10
The Case for Christ,2017,Drama,6.8,42.108,205,en,6
Mr. Popper's Penguins,2011,"Comedy, Family",5.9,42.096,2387,en,3
3-D Sex and Zen: Extreme Ecstasy,2011,"Drama, Adventure, Romance",4.7,42.084,62,cn,6
On Your Wedding Day,2018,Romance,7.6,42.066,123,ko,9
3:10 to Yuma,2007,Western,7.2,42.056,2772,en,3
Castle Freak,2020,Horror,5.0,42.042,36,en,5
Home,2015,"Fantasy, Comedy, Animation, Science Fiction, Family",6.8,42.033,3312,en,0
Woodlawn,2015,Drama,7.0,42.022,145,en,6
Star Wars: Episode III - Revenge of the Sith,2005,"Science Fiction, Adventure, Action",7.4,41.997,11189,en,11
Zodiac,2007,"Crime, Drama, Mystery, Thriller",7.5,41.95,8177,en,8
Halo: Nightfall,2014,Science Fiction,7.0,41.925,105,en,2
Night of the Living Dead,1990,Horror,6.8,41.911,651,en,5
Three Steps Over Heaven,2004,"Drama, Romance",5.7,41.902,592,it,6
Thir13en Ghosts,2001,"Horror, Thriller",6.2,41.897,1579,en,7
Diary of a Wimpy Kid,2010,"Comedy, Family",6.2,41.881,1224,en,3
Saint Seiya: Warriors of the Final Holy Battle,1989,"Action, Animation, Fantasy",7.3,41.873,148,ja,10
One Piece 3D: Straw Hat Chase,2011,Animation,6.7,41.873,103,ja,0
Overboard,2018,"Romance, Comedy",6.6,41.861,1129,en,9
Beethoven's Big Break,2008,"Comedy, Family",5.2,41.86,117,en,3
Van Helsing,2004,"Horror, Adventure, Action",6.3,41.803,4734,en,10
I Am Number Four,2011,"Action, Thriller, Science Fiction, Adventure",6.2,41.802,3958,en,11
Rocky Balboa,2006,"Drama, Action",6.8,41.747,2687,en,1
The Princess Diaries,2001,"Comedy, Family, Romance",6.9,41.737,4058,en,9
Death Note,2006,"Fantasy, Mystery, Thriller",6.9,41.732,500,ja,4
Tinker Bell and the Lost Treasure,2009,"Animation, Family, Adventure, Fantasy",6.7,41.709,772,en,0
Space Jam,1996,"Family, Animation, Comedy, Science Fiction",6.9,41.684,4985,en,0
League of Gods,2016,"Action, Fantasy",5.5,41.659,94,zh,10
Homunculus,2021,"Drama, Thriller",5.9,41.612,64,ja,4
Beasts Clawing at Straws,2020,"Mystery, Thriller, Crime, Comedy, Drama",7.2,41.612,131,ko,8
Watchmen,2009,"Action, Mystery, Science Fiction",7.3,41.569,7446,en,2
Into the Storm,2014,"Action, Thriller",6.0,41.563,1698,en,8
Smurfs: The Lost Village,2017,"Family, Adventure, Animation, Comedy",6.3,41.555,1176,en,0
My Best Friend's Girl,2008,"Romance, Comedy",5.7,41.53,589,en,9
The Prince of Egypt,1998,"Adventure, Animation, Drama, Family",7.2,41.526,3106,en,0
The Goonies,1985,"Adventure, Comedy, Family",7.5,41.505,4604,en,0
Date Night,2010,"Comedy, Action, Adventure",6.1,41.478,2352,en,10
The Fifth Element,1997,"Adventure, Fantasy, Action, Thriller, Science Fiction",7.5,41.467,8809,en,11
Braven,2018,"Drama, Action, Thriller",6.2,41.42,800,en,1
Vacation,2015,Comedy,6.3,41.345,3045,en,3
Lucas,2021,Drama,5.9,41.337,17,es,6
Jason Goes to Hell: The Final Friday,1993,Horror,4.5,41.336,690,en,5
The Girl Who Killed Her Parents,2021,"Crime, Drama, Thriller",6.5,41.317,171,pt,8
Armageddon,1998,"Action, Thriller, Science Fiction, Adventure",6.8,41.315,6449,en,11
The Autopsy of Jane Doe,2016,"Horror, Mystery",6.7,41.313,3239,en,5
The Huntsman: Winter's War,2016,"Action, Adventure, Drama",6.3,41.31,4151,en,1
The Foreigner,2017,"Action, Thriller",6.8,41.302,1904,en,8
The Hidden Face,2011,"Thriller, Mystery",7.3,41.288,773,es,4
The Tit and the Moon,1994,"Drama, Comedy",6.3,41.273,53,es,3
Beyond the Boundary: I'll Be Here – Past,2015,"Animation, Fantasy, Action, Drama, Comedy",6.9,41.259,44,ja,1
The Wolf and the Lion,2021,"Adventure, Family",7.2,41.25,74,en,0
Zathura: A Space Adventure,2005,"Family, Fantasy, Science Fiction, Adventure, Comedy",6.4,41.23,2610,en,0
Flashback,2021,Comedy,6.0,41.223,61,fr,3
American Pie Presents: Band Camp,2005,Comedy,5.5,41.218,1716,en,3
The Drop,2014,"Drama, Crime",6.7,41.18,1763,en,6
Shot Caller,2017,"Crime, Drama, Thriller",6.9,41.163,1631,en,8
Emperor,2012,"Drama, History, War",6.1,41.136,192,en,6
Playhouse,2020,"Horror, Thriller",5.5,41.114,21,en,7
Mr. & Mrs. Smith,2005,"Action, Comedy, Drama, Thriller",6.7,41.11,8430,en,1
"Sex, Shame & Tears",1999,"Comedy, Drama, Romance",6.7,41.089,80,es,9
Lilo & Stitch 2: Stitch Has a Glitch,2005,"Animation, Family, Comedy, Science Fiction",6.6,41.085,1128,en,0
Alpha,2018,"Adventure, Drama",6.4,41.068,2113,en,6
Get the Gringo,2012,"Action, Thriller, Crime, Drama",6.5,41.059,1282,en,8
Freddy's Dead: The Final Nightmare,1991,"Horror, Thriller",5.3,41.054,958,en,7
Adore,2013,Drama,6.1,41.053,799,en,6
Green Book,2018,"Drama, Comedy",8.2,41.044,8792,en,3
Men in Black II,2002,"Action, Adventure, Comedy, Science Fiction",6.3,41.014,8237,en,11
Mary Poppins,1964,"Comedy, Family, Fantasy",7.6,40.992,3894,en,0
Young Mother 5,2020,"Drama, Romance",6.0,40.979,3,ko,6
Maggie Simpson in The Force Awakens from Its Nap,2021,"Family, Animation, Comedy, Science Fiction",7.0,40.978,123,en,0
Kill Bill: Vol. 1,2003,"Action, Crime",8.0,40.954,14358,en,8
Fate/stay night: Heaven's Feel I. Presage Flower,2017,"Action, Animation, Drama, Fantasy, Romance",7.5,40.952,143,ja,1
Xtreme,2021,"Action, Adventure, Crime",6.6,40.937,189,es,10
His House,2020,"Drama, Horror, Thriller",6.5,40.931,749,en,7
Innocent Witness,2019,Drama,7.8,40.919,44,ko,6
G.I. Joe: Retaliation,2013,"Science Fiction, Adventure, Action, Thriller",5.6,40.91,4798,en,11
Open 24 Hours,2018,"Horror, Thriller",5.4,40.88,82,en,7
Pocahontas II: Journey to a New World,1998,"Family, Adventure, Animation, Romance",5.5,40.854,1132,en,0
S.W.A.T.: Under Siege,2017,"Action, Crime, Thriller",5.8,40.853,258,en,8
Grease,1978,"Romance, Comedy",7.4,40.84,5986,en,9
It Boy,2013,Comedy,6.3,40.835,987,fr,3
Jesus,1979,"Drama, History",8.4,40.804,149,en,6
Kuroko no Basket Movie 3: Winter Cup Soushuuhen - Tobira no Mukou,2016,Animation,7.2,40.778,3,ja,0
10 Things I Hate About You,1999,"Comedy, Romance, Drama",7.6,40.775,6326,en,9
Transporter 3,2008,"Action, Adventure, Thriller, Crime",6.1,40.748,2688,en,8
Carnaval,2021,Comedy,5.2,40.744,53,pt,3
Stuart Little 2,2002,"Family, Adventure, Animation, Comedy",5.7,40.728,1969,en,0
The Ring,2002,"Horror, Mystery",6.6,40.723,4954,en,5
The Scorpion King 3: Battle for Redemption,2012,"Action, Adventure, Fantasy, Drama",4.5,40.704,261,en,10
Olaf's Frozen Adventure,2017,"Animation, Family, Adventure, Comedy, Fantasy",6.4,40.702,1254,en,0
Jason X,2001,"Horror, Science Fiction",4.8,40.701,987,en,5
Ghost Lab,2021,"Drama, Horror, Science Fiction, Thriller",6.5,40.682,90,th,7
Warm Bodies,2013,"Horror, Comedy, Romance",6.4,40.667,5328,en,9
A Naija Christmas,2021,"Comedy, Romance",7.2,40.664,33,en,9
Better Days,2019,Drama,8.4,40.656,222,zh,6
Porco Rosso,1992,"Family, Comedy, Animation, Adventure",7.8,40.622,2402,ja,0
Doraemon: Nobita and the Windmasters,2003,"Animation, Fantasy",7.2,40.616,38,ja,0
Superman Returns,2006,"Science Fiction, Action, Adventure",5.7,40.614,3384,en,11
Why Him?,2016,Comedy,6.3,40.604,3498,en,3
8 Mile,2002,"Music, Drama",7.1,40.563,5762,en,6
Sekaiichi Hatsukoi Movie,2014,"Animation, Romance, Drama",6.3,40.539,18,ja,6
Tomorrow Never Dies,1997,"Adventure, Action, Thriller",6.3,40.523,2390,en,10
Carrie,2013,"Drama, Horror",6.0,40.499,3784,en,5
Bungo Stray Dogs: Dead Apple,2018,"Animation, Action, Comedy, Mystery, Crime, Fantasy",8.2,40.491,89,ja,10
Love and Monsters,2020,"Comedy, Action, Adventure, Fantasy",7.4,40.47,2941,en,10
Summer Wars,2009,Animation,7.5,40.447,694,ja,0
Blade Runner,1982,"Science Fiction, Drama, Thriller",7.9,40.438,11229,en,4
Pet Sematary,1989,Horror,6.6,40.418,1634,en,5
2001: A Space Odyssey,1968,"Science Fiction, Mystery, Adventure",8.1,40.403,9151,en,11
Spy,2015,"Action, Comedy, Crime",6.8,40.395,5192,en,3
Kick-Ass 2,2013,"Action, Adventure, Crime",6.4,40.392,5178,en,10
Barbie: A Fairy Secret,2011,"Animation, Family, Fantasy",6.7,40.39,375,en,0
Speed,1994,"Action, Adventure, Crime",7.1,40.384,4793,en,10
Death of Me,2020,"Horror, Mystery",5.0,40.38,175,en,5
Last Summer,2021,"Romance, Drama",5.8,40.376,35,tr,6
Mission: Impossible,1996,"Adventure, Action, Thriller",6.9,40.349,6886,en,10
Aloha Scooby-Doo!,2005,"Mystery, Family, Animation, Adventure, Comedy",7.1,40.342,330,en,0
American History X,1998,Drama,8.4,40.342,9399,en,6
Ghost in the Shell,1995,"Action, Animation, Science Fiction",7.9,40.341,2470,ja,2
Leap Year,2010,"Romance, Comedy",6.9,40.318,1668,en,9
"As Above, So Below",2014,"Horror, Thriller",6.7,40.317,2612,en,7
Die Hard,1988,"Action, Thriller",7.7,40.273,8950,en,8
Silent Hill,2006,"Horror, Mystery",6.5,40.257,3317,en,5
One Punch Man: Road to Hero,2015,"Action, Animation",8.1,40.244,110,ja,2
Not Another Teen Movie,2001,Comedy,5.7,40.226,1563,en,3
Dune,1984,"Action, Science Fiction, Adventure",6.2,40.193,2124,en,11
Barbie as the Island Princess,2007,"Animation, Family",7.2,40.136,559,en,0
Bermuda Tentacles,2014,Science Fiction,4.0,40.099,57,en,2
Freaky Friday,2003,"Comedy, Family, Romance, Fantasy",6.4,40.098,3009,en,9
Barb & Star Go to Vista Del Mar,2021,Comedy,5.8,40.094,131,en,3
Father Christmas Is Back,2021,"Comedy, Family",4.8,40.093,91,en,3
The Indian in the Cupboard,1995,"Adventure, Family, Fantasy",6.4,40.079,473,en,10
The Worst Person in the World,2021,"Comedy, Drama, Romance",7.7,40.055,233,no,9
Killer Bean Forever,2009,"Action, Animation, Crime, Thriller",7.1,40.029,106,en,8
Desire,2017,"Romance, Drama",5.8,40.017,109,es,6
Sexo salvaje,2015,"Romance, Drama",6.6,40.009,8,es,6
Saint Seiya: Evil Goddess Eris,1987,"Action, Animation, Fantasy",7.1,40.005,153,ja,10
Man of Tai Chi,2013,"Action, Drama",6.0,39.995,688,en,1
Homefront,2013,"Action, Thriller",7.0,39.987,2783,en,8
Alien Resurrection,1997,"Science Fiction, Horror, Action",6.1,39.985,3742,en,2
The Wedding Ringer,2015,Comedy,6.5,39.979,1331,en,3
The Butterfly Effect,2004,"Science Fiction, Thriller",7.5,39.974,5944,en,4
The Raid 2,2014,"Action, Crime, Thriller",7.6,39.957,1815,id,8
This Is the End,2013,"Action, Comedy",6.2,39.945,5295,en,3
Scott Pilgrim vs. the World,2010,"Action, Comedy, Fantasy, Romance",7.4,39.933,6215,en,9
A Christmas Carol,2009,"Animation, Family, Drama, Fantasy",6.9,39.916,3732,en,0
The Help,2011,Drama,8.2,39.913,6085,en,6
Jack and Jill,2011,Comedy,4.3,39.892,1713,en,3
Happier Than Ever: A Love Letter to Los Angeles,2021,Music,8.0,39.885,83,en,3
St. Vincent,2014,Comedy,7.1,39.883,1541,en,3
Blue Lagoon: The Awakening,2012,"Drama, Adventure, Romance, TV Movie",6.5,39.858,1171,en,6
The Return of the Living Dead,1985,"Comedy, Horror",7.2,39.841,1283,en,5
Life As We Know It,2010,"Comedy, Romance, Drama",6.9,39.836,2678,en,9
No Mercy,2019,"Action, Crime, Thriller, Mystery",7.1,39.822,85,ko,8
Eagle Eye,2008,"Mystery, Thriller, Action",6.4,39.808,2316,en,8
Checkered Ninja,2018,"Animation, Comedy, Adventure, Fantasy, Family",7.3,39.796,149,da,0
Collateral Beauty,2016,"Drama, Romance",7.3,39.768,4808,en,6
The Spy Next Door,2010,"Action, Comedy, Family",5.8,39.767,1029,en,3
Atlantis: The Lost Empire,2001,"Animation, Family, Adventure, Science Fiction",6.9,39.755,3834,en,0
The Bear,1988,"Adventure, Drama, Family",6.9,39.741,345,en,6
Elite Squad,2007,"Drama, Action, Crime",8.1,39.739,1728,pt,1
The Rugrats Movie,1998,"Family, Animation, Comedy, Adventure",6.2,39.73,457,en,0
Blood Diamond,2006,"Drama, Thriller, Action",7.5,39.729,6111,en,1
The Spiderwick Chronicles,2008,"Family, Adventure, Fantasy, Drama",6.6,39.708,2127,en,10
Battleship,2012,"Thriller, Action, Adventure, Science Fiction",5.8,39.699,4558,en,11
Justice League: Throne of Atlantis,2015,"Science Fiction, Action, Animation, Adventure",7.1,39.697,704,en,11
Transporter 2,2005,"Action, Thriller, Crime",6.3,39.697,2819,en,8
Ouija: Origin of Evil,2016,"Horror, Thriller",6.1,39.687,2016,en,7
The Amityville Horror,2005,Horror,6.1,39.682,1741,en,5
Bloodsport,1988,"Action, Drama",7.0,39.665,1327,en,1
Mission: Impossible II,2000,"Adventure, Action, Thriller",6.1,39.663,5179,en,10
Friday the 13th Part VI: Jason Lives,1986,"Horror, Mystery, Thriller",6.2,39.638,832,en,7
Kung Fu Hustle,2004,"Action, Comedy, Crime, Fantasy",7.4,39.622,2061,cn,10
Friendzone,2021,"Romance, Comedy",6.2,39.62,174,fr,9
Scary Stories to Tell in the Dark,2019,"Horror, Thriller",6.5,39.607,2078,en,7
Jason Bourne,2016,"Action, Thriller",6.3,39.606,4836,en,8
Deep Water,2022,"Drama, Romance, Thriller",0.0,39.591,0,en,4
La leyenda de la Llorona,2011,"Family, Animation",7.7,39.591,174,es,0
The Little Mermaid,2018,"Family, Adventure, Fantasy, Romance, Drama",5.0,39.578,758,en,6
We Are the Nobles,2013,Comedy,7.9,39.566,384,es,3
Role Models,2008,Comedy,6.5,39.548,1453,en,3
Drive Angry,2011,"Fantasy, Thriller, Action, Crime",5.5,39.543,1474,en,8
Nanny McPhee and the Big Bang,2010,"Comedy, Fantasy, Family",6.3,39.534,1494,en,0
Bayala: A Magical Adventure,2019,"Adventure, Animation, Family, Fantasy",5.8,39.521,16,de,0
The Judge,2014,Drama,7.3,39.511,3370,en,6
Animal Crackers,2017,"Comedy, Animation, Adventure",6.3,39.495,141,en,0
Ferry,2021,"Action, Crime, Drama",6.8,39.493,149,nl,1
The Legend of La Llorona,2022,"Horror, Thriller",5.9,39.474,14,en,7
Sabotage,2014,"Action, Drama, Thriller, Crime",5.6,39.464,1143,en,8
Rough Night,2017,"Drama, Comedy",5.7,39.445,1728,en,3
The Blue Lagoon,1980,"Romance, Adventure",6.2,39.442,1420,en,9
Mile 22,2018,"Action, Thriller",6.2,39.441,1782,en,8
